Gender,Age,Tenure_Months,Monthly_Minutes,Data_Usage_GB,Support_Calls,Monthly_Charges,Total_Charges,Late_Payments,Satisfaction_Score,Complaints,Phone_Service,Churn,Avg_Charge_Per_Month,Charge_Deviation,Support_Call_Rate,CLV_Proxy,Late_Payment_Ratio,Engagement_Score,High_Risk_Flag,Location_Suburban,Location_Urban,Contract_Type_One Year,Contract_Type_Two Year,Payment_Method_Credit Card,Payment_Method_Electronic Check,Payment_Method_Mailed Check,Internet_Service_Fiber Optic,Internet_Service_No,Tenure_Category_12-24m,Tenure_Category_24-48m,Tenure_Category_48-72m,Tenure_Category_6-12m
1,68,3,537.0,6.1,2.0,97.22,241.59,0,2.0,2,1,1,80.53,31.88,0.6667,291.66,0.0,0.4458,1,0,1,0,1,1,0,0,1,0,0,0,0,0
0,57,20,624.0,15.0,2.0,72.0,1418.08,1,1.0,0,0,1,70.9,6.66,0.1,1440.0,0.05,0.5943,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1,24,22,976.0,6.5,3.0,87.27,1987.89,0,2.0,0,1,0,90.36,21.93,0.1364,1919.94,0.0,0.622,0,0,1,1,0,0,0,0,1,0,1,0,0,0
1,49,27,527.0,0.6,2.0,117.98,3114.52,1,1.0,1,1,1,115.35,52.64,0.0741,3185.46,0.037,0.2738,0,1,0,0,0,1,0,0,1,0,0,1,0,0
1,65,12,704.0,6.3,0.0,61.6,689.82,1,3.0,1,1,0,57.49,-3.74,0.0,739.2,0.0833,0.5738,0,0,1,0,1,0,0,0,1,0,0,0,0,1
0,36,35,692.0,0.4,2.0,88.07,3052.5,1,4.0,0,1,0,87.21,22.73,0.0571,3082.45,0.0286,0.5131,0,0,1,0,1,0,0,1,0,0,0,1,0,0
1,23,72,855.0,3.5,0.0,64.71,4466.516250000001,0,4.0,0,1,0,62.03,-0.63,0.0,4659.12,0.0,0.6366,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1,37,7,612.0,3.7,1.0,68.65,507.21,0,4.0,2,0,0,72.46,3.31,0.1429,480.55,0.0,0.5474,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1,44,29,331.0,7.5,0.0,54.36,1526.05,1,1.0,2,1,1,52.62,-10.98,0.0,1576.44,0.0345,0.3344,0,0,1,1,0,0,1,0,1,0,0,1,0,0
0,60,63,560.0,0.1,1.0,68.36,4385.95,2,5.0,0,1,0,69.62,3.02,0.0159,4306.68,0.0317,0.5166,0,1,0,0,0,0,1,0,0,1,0,0,1,0
1,54,27,550.0,10.4,0.0,38.46,1064.83,1,2.0,2,0,0,39.44,-26.88,0.0,1038.42,0.037,0.5354,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,65,27,663.0,5.5,2.0,94.18,2555.44,0,2.0,0,1,1,94.65,28.84,0.0741,2542.86,0.0,0.4823,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1,24,6,325.0,0.2,0.0,130.21,788.69,1,5.0,0,1,0,131.45,64.87,0.0,781.26,0.1667,0.4285,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,22,18,753.0,0.9,3.0,71.04,1204.3,1,4.0,0,1,0,66.91,5.7,0.1667,1278.72,0.0556,0.5463,0,0,1,0,0,0,1,0,1,0,1,0,0,0
0,28,19,501.0,0.2,3.0,53.08,1002.52,0,2.0,2,1,1,52.76,-12.26,0.1579,1008.52,0.0,0.316,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,32,28,667.0,7.3,1.0,109.98,3083.35,2,2.0,0,1,1,110.12,44.64,0.0357,3079.44,0.0714,0.5193,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,20,72,561.0,0.9,1.0,57.28,4164.8,0,3.0,2,1,0,57.84,-8.06,0.0139,4124.16,0.0,0.4128,0,1,0,1,0,1,0,0,1,0,0,0,1,0
0,22,1,524.0,0.2,0.0,54.26,93.04,2,4.0,0,1,0,93.04,-11.08,0.0,54.26,2.0,0.4448,0,1,0,1,0,1,0,0,1,0,0,0,0,0
0,40,1,546.0,0.7,0.0,71.32,143.98,1,2.0,0,0,1,143.98,5.98,0.0,71.32,1.0,0.3431,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,54,1,634.0,4.1,1.0,55.16,68.63,2,5.0,1,1,0,68.63,-10.18,1.0,55.16,2.0,0.6237,0,0,1,1,0,1,0,0,1,0,0,0,0,0
0,26,32,891.0,3.4,1.0,96.24,3019.01,1,1.0,0,1,0,94.34,30.9,0.0312,3079.68,0.0312,0.4684,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1,32,3,96.0,1.4,2.0,23.91,130.58,0,5.0,0,0,0,43.53,-41.43,0.6667,71.73,0.0,0.3643,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,20,23,608.0,14.3,1.0,71.91,1737.99,2,1.0,0,1,0,75.56,6.57,0.0435,1653.93,0.087,0.5744,0,0,1,0,1,0,1,0,0,0,1,0,0,0
0,46,9,508.0,9.6,2.0,103.75,963.71,1,4.0,1,1,0,107.08,38.41,0.2222,933.75,0.1111,0.6236,0,1,0,1,0,1,0,0,0,0,0,0,0,1
0,23,14,464.0,1.9,3.5,20.0,362.92,0,5.0,0,1,0,25.92,-45.34,0.25,280.0,0.0,0.5152,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,34,5,50.0,3.2,0.0,105.69,542.38,0,3.0,0,0,0,108.48,40.35,0.0,528.45,0.0,0.2621,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,43,48,616.0,3.6,1.0,72.21,3444.73,0,2.0,1,1,0,71.77,6.87,0.0208,3466.08,0.0,0.4269,0,0,1,1,0,0,1,0,1,0,0,1,0,0
0,38,21,475.0,7.1,2.0,112.61,2338.18,1,3.0,0,1,1,111.34,47.27,0.0952,2364.81,0.0476,0.5018,0,0,1,1,0,0,0,0,0,0,1,0,0,0
0,25,69,333.0,2.8,3.5,107.19,4466.516250000001,1,5.0,2,1,1,64.73,41.85,0.0507,7396.11,0.0145,0.4827,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0,38,20,508.0,4.0,0.0,30.46,599.6,0,1.0,3,1,1,29.98,-34.88,0.0,609.2,0.0,0.3334,0,1,0,0,1,1,0,0,0,1,1,0,0,0
1,28,3,441.0,2.7,1.0,118.62,295.11,2,3.0,1,1,1,98.37,53.28,0.3333,355.86,0.6667,0.4022,0,0,0,1,0,1,0,0,1,0,0,0,0,0
1,55,4,151.0,7.2,1.0,38.65,276.96,0,3.0,1,1,0,69.24,-26.69,0.25,154.6,0.0,0.3795,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,25,72,517.0,4.1,2.0,76.25,4466.516250000001,1,1.0,0,1,1,62.03,10.91,0.0278,5490.0,0.0139,0.3388,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,59,31,616.0,8.8,2.0,20.0,956.3499999999999,1,2.0,0,1,0,30.85,-45.34,0.0645,620.0,0.0323,0.5292,0,1,0,0,0,0,0,1,1,0,0,1,0,0
0,41,1,390.0,0.3,1.0,83.23,20.0,0,4.0,1,1,1,20.0,17.89,1.0,83.23,0.0,0.3954,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,52,29,552.0,11.7,1.0,77.6,2228.58,1,5.0,0,1,0,76.85,12.26,0.0345,2250.4,0.0345,0.7418,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,31,12,521.0,8.6,1.0,107.28,1276.53,1,4.0,0,1,0,106.38,41.94,0.0833,1287.36,0.0833,0.6089,0,1,0,1,0,0,0,0,1,0,0,0,0,1
