CustomerID,Gender,Age,Location,Tenure_Months,Contract_Type,Payment_Method,Monthly_Minutes,Data_Usage_GB,Support_Calls,Monthly_Charges,Total_Charges,Late_Payments,Satisfaction_Score,Complaints,Internet_Service,Phone_Service,Churn
CUST-00001,Male,68,Urban,3,Two Year,Credit Card,537,6.1,2,97.22,241.59,0,2.0,2,Fiber Optic,Yes,1
CUST-00002,Female,57,Suburban,20,Month-to-Month,Electronic Check,624,15.0,2,72.0,1418.08,1,1.0,0,DSL,No,1
CUST-00003,Male,24,Urban,22,One Year,Bank Transfer,976,6.5,3,87.27,1987.89,0,2.0,0,Fiber Optic,Yes,0
CUST-00004,Male,49,Suburban,27,Month-to-Month,Credit Card,527,0.6,2,117.98,3114.52,1,1.0,1,Fiber Optic,Yes,1
CUST-00005,Male,65,Urban,12,Two Year,Bank Transfer,704,6.3,0,61.6,689.82,1,,1,Fiber Optic,Yes,0
CUST-00006,Female,36,Urban,35,Two Year,Mailed Check,692,0.4,2,88.07,3052.5,1,4.0,0,DSL,Yes,0
CUST-00007,Male,23,Rural,72,Month-to-Month,Electronic Check,855,3.5,0,64.71,4663.9,0,4.0,0,No,Yes,0
CUST-00008,Male,37,Rural,7,Month-to-Month,Electronic Check,612,3.7,1,68.65,507.21,0,4.0,2,Fiber Optic,No,0
CUST-00009,Male,44,Urban,29,One Year,Electronic Check,331,7.5,0,54.36,1526.05,1,1.0,2,Fiber Optic,Yes,1
CUST-00010,Female,60,Suburban,63,Month-to-Month,Electronic Check,560,0.1,1,68.36,4385.95,2,5.0,0,No,Yes,0
CUST-00011,Male,54,Urban,27,Month-to-Month,Bank Transfer,550,10.4,0,38.46,1064.83,1,2.0,2,Fiber Optic,No,0
CUST-00012,Male,65,Urban,27,Month-to-Month,Mailed Check,663,5.5,2,94.18,2555.44,0,2.0,0,DSL,Yes,1
CUST-00013,Male,24,Suburban,6,Month-to-Month,Bank Transfer,325,0.2,0,130.21,788.69,1,5.0,0,DSL,Yes,0
CUST-00014,Male,22,Urban,18,Month-to-Month,Electronic Check,753,0.9,3,71.04,1204.3,1,4.0,0,Fiber Optic,Yes,0
CUST-00015,Female,28,Rural,19,Month-to-Month,Bank Transfer,501,0.2,3,53.08,1002.52,0,2.0,2,Fiber Optic,Yes,1
CUST-00016,Male,32,Urban,28,Month-to-Month,Bank Transfer,667,7.3,1,109.98,3083.35,2,2.0,0,DSL,Yes,1
CUST-00017,Female,20,Suburban,72,One Year,Credit Card,561,0.9,1,57.28,4164.8,0,3.0,2,Fiber Optic,Yes,0
CUST-00018,Female,22,Suburban,1,One Year,Credit Card,524,0.2,0,54.26,93.04,2,4.0,0,Fiber Optic,Yes,0
CUST-00019,Female,40,Urban,1,Month-to-Month,Electronic Check,546,0.7,0,71.32,143.98,1,2.0,0,DSL,No,1
CUST-00020,Male,54,Urban,1,One Year,Credit Card,634,4.1,1,55.16,68.63,2,5.0,1,Fiber Optic,Yes,0
CUST-00021,Female,26,Suburban,32,Two Year,Bank Transfer,891,3.4,1,96.24,3019.01,1,1.0,0,DSL,Yes,0
CUST-00022,Male,32,Suburban,3,Month-to-Month,Mailed Check,96,1.4,2,23.91,130.58,0,5.0,0,DSL,No,0
CUST-00023,Female,20,Urban,23,Two Year,Electronic Check,608,14.3,1,71.91,1737.99,2,1.0,0,DSL,Yes,0
CUST-00024,Female,46,Suburban,9,One Year,Credit Card,508,9.6,2,103.75,963.71,1,4.0,1,DSL,Yes,0
CUST-00025,Female,23,Urban,14,Month-to-Month,Electronic Check,464,1.9,5,20.0,362.92,0,5.0,0,DSL,Yes,0
CUST-00026,Female,34,Urban,5,Month-to-Month,Credit Card,50,3.2,0,105.69,542.38,0,3.0,0,DSL,No,0
CUST-00027,Female,43,Urban,48,One Year,Electronic Check,616,3.6,1,72.21,3444.73,0,2.0,1,Fiber Optic,Yes,0
CUST-00028,Female,38,Urban,21,One Year,Bank Transfer,475,7.1,2,112.61,2338.18,1,3.0,0,DSL,Yes,1
CUST-00029,Female,25,Suburban,69,Month-to-Month,Credit Card,333,2.8,5,107.19,7328.15,1,5.0,2,DSL,Yes,1
CUST-00030,Female,38,Suburban,20,Two Year,Credit Card,508,4.0,0,30.46,599.6,0,1.0,3,No,Yes,1
CUST-00031,Male,28,Rural,3,One Year,Credit Card,441,2.7,1,118.62,295.11,2,3.0,1,Fiber Optic,Yes,1
